Compt_ID,year,month,srad
Palm_Ridge_C15a,2009,5,14.64684686
Futululu_E6a,2009,5,11.83151704
Mtubatuba_B003,2009,5,11.85106205
Trust_D13,2009,5,12.23683574
Trust_E23,2009,5,11.86036032
Trust_E24,2009,5,11.88961809
Mavuya_B3a,2009,5,14.69780435
Salpine_G22,2009,5,11.87953215
Salpine_G33,2009,5,11.92455002
Salpine_F7,2009,5,13.9685188
Kwambo_F011A,2009,5,12.17858563
Nseleni_J006,2009,5,11.91783283
Terranera_B38,2009,5,11.96289148
South_Areas_B35b,2009,5,11.96606844
Kwambo_A017,2009,5,11.94824676
Teranera_C55,2009,5,11.99920196
Port_Durnford_B044,2009,5,11.83485331
Nyalazi_B032,2009,6,12.00002857
Palm_Ridge_C15a,2009,6,14.09050709
Futululu_E6a,2009,6,10.68114121
Mtubatuba_B003,2009,6,10.70960299
Trust_D13,2009,6,11.19614277
Trust_E23,2009,6,10.96062932
Trust_E24,2009,6,10.88809401
Mavuya_B3a,2009,6,14.1771099
Salpine_G22,2009,6,10.80465649
Salpine_G33,2009,6,11.01960879
Salpine_F7,2009,6,13.32227615
Kwambo_F011A,2009,6,11.62395293
Nseleni_J006,2009,6,10.79119282
Terranera_B38,2009,6,10.99605695
South_Areas_B35b,2009,6,10.8930925
Kwambo_A017,2009,6,11.00377211
Teranera_C55,2009,6,10.95255518
Port_Durnford_B044,2009,6,10.85154218
Nyalazi_B032,2009,7,12.99041983
Palm_Ridge_C15a,2009,7,14.48693734
Futululu_E6a,2009,7,11.99095757
Mtubatuba_B003,2009,7,12.01040962
Trust_D13,2009,7,12.46416479
Trust_E23,2009,7,12.17998778
Trust_E24,2009,7,12.15757909
Mavuya_B3a,2009,7,14.56577448
Salpine_G22,2009,7,12.06880048
Salpine_G33,2009,7,12.20599332
Salpine_F7,2009,7,13.7969828
Kwambo_F011A,2009,7,12.80683831
Nseleni_J006,2009,7,12.06404825
Terranera_B38,2009,7,12.23156613
South_Areas_B35b,2009,7,12.0914285
Kwambo_A017,2009,7,12.18102335
Teranera_C55,2009,7,12.11444148
Port_Durnford_B044,2009,7,12.08475798
Nyalazi_B032,2009,8,14.73964998
Palm_Ridge_C15a,2009,8,15.9619648
Futululu_E6a,2009,8,13.43878476
Mtubatuba_B003,2009,8,13.43998709
Trust_D13,2009,8,14.2681975
Trust_E23,2009,8,13.83440437
Trust_E24,2009,8,13.84226307
Mavuya_B3a,2009,8,16.12140369
Salpine_G22,2009,8,13.80691746
Salpine_G33,2009,8,14.02819088
Salpine_F7,2009,8,14.88501198
Kwambo_F011A,2009,8,14.42258632
Nseleni_J006,2009,8,13.991231
Terranera_B38,2009,8,14.20261212
South_Areas_B35b,2009,8,14.20015264
Kwambo_A017,2009,8,13.77039639
Teranera_C55,2009,8,14.21543098
Port_Durnford_B044,2009,8,13.7654287
Nyalazi_B032,2009,9,14.86782798
Palm_Ridge_C15a,2009,9,16.3685032
Futululu_E6a,2009,9,13.41445169
Mtubatuba_B003,2009,9,13.41457152
Trust_D13,2009,9,14.36539729
Trust_E23,2009,9,13.85844948
Trust_E24,2009,9,13.85524964
Mavuya_B3a,2009,9,16.56388799
Salpine_G22,2009,9,13.84184361
Salpine_G33,2009,9,14.07917469
Salpine_F7,2009,9,15.21264303
Kwambo_F011A,2009,9,14.39044536
Nseleni_J006,2009,9,14.00044494
Terranera_B38,2009,9,14.20817463
South_Areas_B35b,2009,9,14.2177202
Kwambo_A017,2009,9,13.73757649
Teranera_C55,2009,9,14.230529
Port_Durnford_B044,2009,9,13.70145779
Nyalazi_B032,2009,10,16.18252117
Palm_Ridge_C15a,2009,10,17.66956798
Futululu_E6a,2009,10,14.61635766
Mtubatuba_B003,2009,10,14.69932476
Trust_D13,2009,10,15.28146114
Trust_E23,2009,10,14.91017617
Trust_E24,2009,10,14.92624796
Mavuya_B3a,2009,10,17.87986415
Salpine_G22,2009,10,14.91821462
Salpine_G33,2009,10,14.97970421
Salpine_F7,2009,10,16.57858224
Kwambo_F011A,2009,10,15.17058916
Nseleni_J006,2009,10,14.98682455
Terranera_B38,2009,10,15.06510687
South_Areas_B35b,2009,10,15.04993192
Kwambo_A017,2009,10,14.74615383
Teranera_C55,2009,10,15.04646981
Port_Durnford_B044,2009,10,14.76222454
Nyalazi_B032,2009,11,18.17858982
Palm_Ridge_C15a,2009,11,19.17110315
Futululu_E6a,2009,11,16.10632123
Mtubatuba_B003,2009,11,16.18915065
Trust_D13,2009,11,16.84844236
Trust_E23,2009,11,16.25130166
Trust_E24,2009,11,16.25752473
Mavuya_B3a,2009,11,19.41166654
Salpine_G22,2009,11,16.32158147
Salpine_G33,2009,11,16.46912215
Salpine_F7,2009,11,18.34986871
Kwambo_F011A,2009,11,16.48929396
Nseleni_J006,2009,11,16.11889625
Terranera_B38,2009,11,16.34879792
South_Areas_B35b,2009,11,16.36445278
Kwambo_A017,2009,11,16.20505777
Teranera_C55,2009,11,16.38417812
Port_Durnford_B044,2009,11,15.90105978
Nyalazi_B032,2009,12,18.68879603
Palm_Ridge_C15a,2009,12,19.84156519
Futululu_E6a,2009,12,16.55036763
Mtubatuba_B003,2009,12,16.72346575
Trust_D13,2009,12,17.44588353
Trust_E23,2009,12,16.61812901
Trust_E24,2009,12,16.71472958
Mavuya_B3a,2009,12,20.01861029
Salpine_G22,2009,12,16.69537517
Salpine_G33,2009,12,16.83047199
