Compt_ID,year,month,tmp_max
South_Areas_B35b,2008,12,30.04211343
Kwambo_A017,2008,12,30.14175001
Teranera_C55,2008,12,30.22512252
Port_Durnford_B044,2008,12,29.6573978
Nyalazi_B032,2009,1,30.47959547
Palm_Ridge_C15a,2009,1,30.6813602
Futululu_E6a,2009,1,30.44213027
Mtubatuba_B003,2009,1,30.44447089
Trust_D13,2009,1,30.34638681
Trust_E23,2009,1,30.20564781
Trust_E24,2009,1,30.45481958
Mavuya_B3a,2009,1,30.97371321
Salpine_G22,2009,1,30.48053969
Salpine_G33,2009,1,30.06177893
Salpine_F7,2009,1,30.69485252
Kwambo_F011A,2009,1,30.09756877
Nseleni_J006,2009,1,30.43543202
Terranera_B38,2009,1,30.10185701
South_Areas_B35b,2009,1,30.2342667
Kwambo_A017,2009,1,30.01356852
Teranera_C55,2009,1,30.30144954
Port_Durnford_B044,2009,1,29.81302834
Nyalazi_B032,2009,2,30.33703298
Palm_Ridge_C15a,2009,2,30.64826901
Futululu_E6a,2009,2,30.31220299
Mtubatuba_B003,2009,2,30.28749161
Trust_D13,2009,2,30.33062874
Trust_E23,2009,2,30.13514309
Trust_E24,2009,2,30.37290779
Mavuya_B3a,2009,2,31.02244386
Salpine_G22,2009,2,30.45448642
Salpine_G33,2009,2,29.96895886
Salpine_F7,2009,2,30.73435936
Kwambo_F011A,2009,2,30.05790165
Nseleni_J006,2009,2,30.48801974
Terranera_B38,2009,2,30.08752867
South_Areas_B35b,2009,2,30.27234657
Kwambo_A017,2009,2,29.95291455
Teranera_C55,2009,2,30.37695251
Port_Durnford_B044,2009,2,29.88705917
Nyalazi_B032,2009,3,29.6362689
Palm_Ridge_C15a,2009,3,30.13124853
Futululu_E6a,2009,3,29.622585
Mtubatuba_B003,2009,3,29.57004626
Trust_D13,2009,3,29.73533012
Trust_E23,2009,3,29.51335389
Trust_E24,2009,3,29.6504786
Mavuya_B3a,2009,3,30.49382709
Salpine_G22,2009,3,29.66611952
Salpine_G33,2009,3,29.30443647
Salpine_F7,2009,3,30.16407278
Kwambo_F011A,2009,3,29.33498331
Nseleni_J006,2009,3,29.74491697
Terranera_B38,2009,3,29.27320441
South_Areas_B35b,2009,3,29.52147727
Kwambo_A017,2009,3,29.14445022
Teranera_C55,2009,3,29.60116205
Port_Durnford_B044,2009,3,29.09534733
Nyalazi_B032,2009,4,27.81902521
Palm_Ridge_C15a,2009,4,28.50961295
Futululu_E6a,2009,4,27.78672825
Mtubatuba_B003,2009,4,27.76323418
Trust_D13,2009,4,28.06295799
Trust_E23,2009,4,27.77286153
Trust_E24,2009,4,27.83447231
Mavuya_B3a,2009,4,28.81186034
Salpine_G22,2009,4,27.92382914
Salpine_G33,2009,4,27.57412629
Salpine_F7,2009,4,28.55042171
Kwambo_F011A,2009,4,27.36927211
Nseleni_J006,2009,4,27.9007893
Terranera_B38,2009,4,27.36404355
South_Areas_B35b,2009,4,27.70725447
Kwambo_A017,2009,4,27.35752499
Teranera_C55,2009,4,27.81702418
Port_Durnford_B044,2009,4,27.16953619
Nyalazi_B032,2009,5,26.12569987
Palm_Ridge_C15a,2009,5,26.40323588
Futululu_E6a,2009,5,26.09092811
Mtubatuba_B003,2009,5,26.03072824
Trust_D13,2009,5,26.08157854
Trust_E23,2009,5,25.77746309
Trust_E24,2009,5,25.83678186
Mavuya_B3a,2009,5,26.53142247
Salpine_G22,2009,5,26.02012086
Salpine_G33,2009,5,25.62395338
Salpine_F7,2009,5,26.4658309
