Compt_ID,year,month,tmp_min
Nyalazi_B032,2010,4,18.91346179
Palm_Ridge_C15a,2010,4,18.83211483
Futululu_E6a,2010,4,19.03940727
Mtubatuba_B003,2010,4,18.92512637
Trust_D13,2010,4,18.78355738
Trust_E23,2010,4,18.75341029
Trust_E24,2010,4,18.85811419
Mavuya_B3a,2010,4,19.08313838
Salpine_G22,2010,4,19.18650557
Salpine_G33,2010,4,18.78626005
Salpine_F7,2010,4,19.41555456
Kwambo_F011A,2010,4,18.69624752
Nseleni_J006,2010,4,19.11667588
Terranera_B38,2010,4,18.62640566
South_Areas_B35b,2010,4,18.77415694
Kwambo_A017,2010,4,19.01383952
Teranera_C55,2010,4,19.22364538
Port_Durnford_B044,2010,4,18.81634776
Nyalazi_B032,2010,5,15.75901
Palm_Ridge_C15a,2010,5,15.47734625
Futululu_E6a,2010,5,15.62758167
Mtubatuba_B003,2010,5,15.70147902
Trust_D13,2010,5,15.48774859
Trust_E23,2010,5,15.69901212
Trust_E24,2010,5,15.65683355
Mavuya_B3a,2010,5,15.57578964
Salpine_G22,2010,5,16.24876116
Salpine_G33,2010,5,16.12553251
Salpine_F7,2010,5,15.62194378
Kwambo_F011A,2010,5,15.65521314
Nseleni_J006,2010,5,15.645697
Terranera_B38,2010,5,15.54139476
South_Areas_B35b,2010,5,15.37097867
Kwambo_A017,2010,5,16.00049586
Teranera_C55,2010,5,15.47889488
Port_Durnford_B044,2010,5,15.73861218
Nyalazi_B032,2010,6,12.09197354
Palm_Ridge_C15a,2010,6,11.60768001
Futululu_E6a,2010,6,12.25861451
Mtubatuba_B003,2010,6,12.29001219
Trust_D13,2010,6,11.59954305
Trust_E23,2010,6,12.04954495
Trust_E24,2010,6,12.04792506
Mavuya_B3a,2010,6,11.69310495
Salpine_G22,2010,6,12.35743845
Salpine_G33,2010,6,11.89119382
Salpine_F7,2010,6,11.99929741
Kwambo_F011A,2010,6,12.26138846
Nseleni_J006,2010,6,11.88467619
Terranera_B38,2010,6,11.75348293
South_Areas_B35b,2010,6,11.59775316
Kwambo_A017,2010,6,12.79144113
Teranera_C55,2010,6,11.66224001
Port_Durnford_B044,2010,6,12.40414955
Nyalazi_B032,2010,7,12.31894922
Palm_Ridge_C15a,2010,7,11.84209594
Futululu_E6a,2010,7,12.50939959
Mtubatuba_B003,2010,7,12.51331546
Trust_D13,2010,7,11.85735111
Trust_E23,2010,7,12.2757598
Trust_E24,2010,7,12.28433414
Mavuya_B3a,2010,7,11.90002892
Salpine_G22,2010,7,12.59310144
Salpine_G33,2010,7,12.05429341
Salpine_F7,2010,7,12.21813194
Kwambo_F011A,2010,7,12.45989527
Nseleni_J006,2010,7,12.16986157
Terranera_B38,2010,7,11.93111512
South_Areas_B35b,2010,7,11.83732099
Kwambo_A017,2010,7,12.94952678
Teranera_C55,2010,7,11.89644579
Port_Durnford_B044,2010,7,12.59648825
Nyalazi_B032,2010,8,12.37274314
Palm_Ridge_C15a,2010,8,11.90636408
Futululu_E6a,2010,8,12.57105562
Mtubatuba_B003,2010,8,12.56815033
Trust_D13,2010,8,11.93113307
Trust_E23,2010,8,12.32414826
Trust_E24,2010,8,12.33492939
Mavuya_B3a,2010,8,11.96367242
Salpine_G22,2010,8,12.65586259
Salpine_G33,2010,8,12.10240038
Salpine_F7,2010,8,12.30040287
Kwambo_F011A,2010,8,12.53990933
Nseleni_J006,2010,8,12.21019259
Terranera_B38,2010,8,11.9904759
South_Areas_B35b,2010,8,11.89627044
Kwambo_A017,2010,8,13.03931974
Teranera_C55,2010,8,11.94137017
Port_Durnford_B044,2010,8,12.70367129
Nyalazi_B032,2010,9,16.32962938
Palm_Ridge_C15a,2010,9,15.61528457
Futululu_E6a,2010,9,16.06719915
Mtubatuba_B003,2010,9,16.34246254
Trust_D13,2010,9,15.52145923
Trust_E23,2010,9,16.2529377
Trust_E24,2010,9,16.2778131
Mavuya_B3a,2010,9,16.24984241
Salpine_G22,2010,9,16.65981312
Salpine_G33,2010,9,16.40777038
Salpine_F7,2010,9,16.08389042
